Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
31,59,466,180,456,128.07,26.2,126.31
64,362,118,398,108,261.76,115.0,259.08
112,378,392,233,197,456.9,449.6,449.04
96,91,356,422,406,387.19,157.2,384.61
88,77,415,408,425,357.37,120.0,355.02
14,141,395,104,362,57.36,14.4,57.6
54,251,447,53,403,216.81,64.8,216.23
91,99,441,423,351,367.18,159.6,364.59
63,309,444,505,355,257.68,178.4,254.4
33,205,433,88,472,133.15,14.4,133.15
31,312,452,186,449,127.24,33.8,127.24
78,47,428,343,414,318.95,139.8,315.88
78,52,390,329,412,317.11,164.2,313.45
16,172,386,115,403,64.04,23.4,64.04
81,41,435,346,407,328.78,144.0,326.54
5,393,165,413,169,21.66,15.6,21.66
126,222,215,413,438,517.63,381.6,507.43
30,323,451,208,431,126.21,30.0,123.28
53,443,317,419,142,216.97,77.8,213.11
114,288,460,411,140,463.88,273.6,459.78
40,492,380,430,245,165.95,62.0,162.44
75,217,210,451,291,304.04,111.4,300.52
27,361,418,276,475,109.78,18.4,108.61
57,47,439,264,472,231.25,27.8,230.67
55,332,168,424,305,228.52,95.8,222.08
74,396,399,130,416,301.31,117.0,298.24
3,206,421,197,413,12.31,12.2,12.31
13,245,449,296,445,55.73,20.4,52.66
83,371,405,67,411,344.79,234.6,334.65
7,165,436,137,438,28.83,14.4,28.83
75,453,279,226,125,314.75,203.6,301.48
88,246,198,493,345,358.43,127.8,353.75
95,383,372,69,353,387.27,131.8,382.35
126,426,413,372,139,517.61,483.2,507.9
67,424,325,302,456,280.02,132.8,270.99
71,183,444,452,433,285.5,68.0,284.33
3,470,359,464,348,13.49,7.6,13.49
109,343,407,312,121,445.74,314.6,438.71
76,275,463,500,369,306.2,229.4,305.27
50,150,459,337,421,203.33,70.8,202.74
92,378,376,65,379,378.33,158.8,368.92
76,462,302,224,221,308.62,167.2,304.52
112,268,229,426,402,460.3,399.2,450.1
71,425,310,283,156,299.46,177.8,287.26
104,437,433,62,381,425.59,277.4,416.42
119,279,454,326,161,487.51,325.0,479.07
48,466,303,338,201,197.14,57.6,192.69
126,456,305,40,445,514.92,229.4,507.16
53,194,417,385,423,214.54,47.0,213.37
49,231,196,327,106,201.48,46.4,196.31
36,43,481,171,438,146.4,31.2,145.81
49,363,394,196,420,203.41,49.0,198.48
35,418,377,305,448,147.1,32.0,142.41
23,245,461,326,427,95.08,25.4,95.08
50,478,361,382,206,208.48,62.2,203.79
110,260,450,402,179,446.19,306.0,440.91
92,187,421,497,323,377.75,129.6,370.48
39,456,339,434,393,164.47,134.2,156.02
57,462,375,332,415,233.28,87.8,230.01
17,212,428,165,376,71.47,17.8,71.47
123,381,395,243,63,511.03,360.6,493.8
14,423,243,383,205,59.25,17.4,58.67
51,355,424,472,372,215.65,183.8,205.94
96,342,225,430,417,394.03,348.4,384.66
38,410,218,485,340,153.65,30.0,153.07
13,183,389,137,368,54.7,17.6,54.7
103,434,337,210,111,430.66,277.4,414.8
42,290,458,133,494,175.91,38.0,171.91
112,143,391,453,279,454.22,331.0,449.63
93,219,199,464,345,377.43,157.4,372.16
38,395,371,279,453,152.89,78.4,152.31
67,465,422,206,440,274.84,133.8,271.43
62,425,355,400,166,254.01,119.0,249.32
76,385,407,110,484,308.65,88.4,306.89
115,419,144,283,456,468.88,386.2,462.44
96,394,183,303,443,394.14,267.8,387.7
14,453,317,469,358,58.46,22.4,57.87
77,169,375,425,393,312.05,82.8,309.46
17,81,433,120,485,71.33,26.4,69.57
87,384,84,202,113,370.99,111.8,351.43
40,312,462,150,463,164.41,63.0,163.24
5,243,201,233,219,22.73,13.6,22.14
9,43,439,71,412,39.18,18.4,39.18
97,351,123,427,376,401.46,340.4,391.46
109,504,362,158,376,450.84,246.4,438.06
28,31,408,127,450,113.4,26.8,113.4
19,25,444,93,421,83.53,34.2,77.53
82,388,345,122,471,332.84,163.6,330.49
126,279,461,309,141,513.94,469.8,507.25
34,240,463,104,458,144.56,32.6,138.07
11,169,447,149,484,45.28,12.8,45.28
28,390,203,453,289,115.61,28.4,112.68
96,116,429,451,341,388.46,141.2,384.71
98,176,457,454,282,399.58,284.6,395.82
78,74,398,359,421,316.41,134.4,314.41
38,60,480,186,412,167.92,69.0,154.17
15,44,415,84,370,61.57,14.6,61.57
108,434,347,49,470,441.22,110.2,435.95
48,367,138,310,238,197.85,67.8,195.41
85,209,443,451,300,346.5,245.2,341.92
109,327,202,297,430,446.22,312.8,439.77
105,466,353,232,65,429.29,271.2,422.5
30,200,425,92,461,122.91,23.4,122.91
84,383,421,59,457,340.67,66.8,338.91
118,299,180,309,448,480.54,435.8,472.34
21,287,220,263,147,87.63,18.2,84.11
118,454,374,107,455,478.92,220.2,473.3
13,370,396,414,376,52.87,20.6,52.28
29,168,454,282,465,118.56,16.8,118.56
116,469,355,99,479,471.06,197.0,466.03
12,291,195,326,203,52.7,22.0,51.53
64,303,467,68,413,268.68,211.4,257.37
40,482,348,389,410,175.12,94.0,161.31
19,138,390,74,353,81.08,25.4,79.91
75,141,386,409,424,305.38,82.0,303.62
16,326,411,387,424,66.38,18.8,66.38
32,58,391,159,462,130.41,45.2,130.41
100,299,227,363,421,414.86,255.2,403.49
47,311,429,156,377,199.31,34.6,189.79
1,494,324,492,330,6.83,6.6,6.83
64,265,228,396,88,259.75,218.4,256.82
61,413,164,471,365,246.42,59.4,244.91
104,436,438,338,158,429.91,214.4,416.78
54,262,75,406,170,223.84,108.8,219.74
24,89,433,171,393,110.71,44.0,98.57
76,479,391,319,229,309.08,175.4,304.74
119,237,221,421,395,490.86,427.0,477.35
13,266,462,314,451,52.56,22.8,52.56
87,287,225,401,365,353.61,244.2,349.26
14,102,432,109,380,60.56,24.8,58.21
13,76,474,123,459,53.21,20.6,53.21
73,318,415,424,240,299.88,153.6,293.19
14,416,216,454,258,57.74,12.8,57.74
53,423,311,421,404,220.82,166.2,212.97
66,122,458,356,389,269.61,114.0,267.85
97,107,486,467,417,389.75,83.6,388.58
19,129,416,127,493,77.83,14.6,77.83
123,65,443,468,356,497.95,595.8,492.33
32,470,389,413,323,131.28,49.8,130.11
75,422,414,140,432,304.47,72.8,300.23
61,293,455,74,394,244.85,82.8,244.27
116,91,477,492,323,468.89,226.6,464.79
113,413,402,324,105,466.01,341.8,453.13
41,298,440,156,390,172.27,34.0,166.85
49,245,469,396,368,197.52,43.2,196.35
118,320,426,268,224,481.04,457.4,474.94
31,50,447,146,379,128.27,56.0,126.51
51,371,391,190,441,209.27,69.8,205.02
42,388,156,297,190,177.75,93.6,168.72
44,217,438,54,470,176.84,35.6,176.25
54,445,398,443,301,226.48,127.4,218.62
10,419,229,385,206,43.53,18.0,43.53
13,309,95,313,146,52.66,14.6,52.66
85,88,430,411,410,345.71,223.8,343.71
57,245,473,27,441,235.94,71.4,231.25
9,101,429,64,430,37.41,15.4,37.41
52,443,313,326,416,213.76,79.2,210.59
16,305,179,302,132,66.18,22.8,65.25
50,113,440,311,454,203.8,143.2,203.8
43,271,471,115,491,173.5,33.8,172.57
8,47,399,64,427,35.04,11.8,35.04
42,249,49,284,180,174.45,36.0,169.62
64,450,314,394,95,260.97,95.2,257.69
40,420,241,407,98,162.23,45.2,162.47
19,430,416,395,380,86.7,23.8,79.43
106,429,427,30,405,431.41,217.4,427.99
63,422,241,386,370,261.84,189.4,255.39
77,347,419,53,456,309.91,86.2,309.33
112,474,326,95,494,452.69,155.6,448.59
18,291,229,332,207,75.87,28.8,75.04
11,289,157,252,140,44.04,19.6,44.04
32,410,127,342,168,0.0,11.4,129.47
16,149,437,129,496,67.28,13.2,67.28
90,196,443,474,363,368.15,328.8,361.71
98,198,407,457,373,396.93,337.6,392.83
110,141,461,415,317,445.5,446.2,440.58
32,214,99,303,182,132.17,51.2,128.07
88,202,433,498,340,362.26,221.4,353.58
38,392,430,254,448,153.84,15.6,152.91
55,276,446,92,358,226.21,38.4,220.45
119,307,424,291,171,485.5,480.8,476.13
77,405,353,150,473,315.25,97.4,311.74
16,421,335,389,387,67.84,16.0,66.08
94,221,121,497,332,386.77,145.8,379.36
66,316,146,413,324,270.16,157.2,266.06
31,282,143,356,233,125.92,50.8,124.75
43,283,460,112,465,174.24,66.0,173.07
93,213,420,468,382,378.65,309.0,375.72
114,504,343,121,399,466.0,268.8,456.73
30,161,443,87,357,121.92,22.4,120.17
34,164,428,44,397,137.33,20.2,136.74
62,155,432,355,373,0.0,6.6,250.44
116,475,351,96,399,475.86,268.8,467.52
58,240,64,203,106,252.32,81.4,235.49
121,75,485,453,306,488.0,511.6,484.83
31,374,191,306,100,126.78,51.0,126.2
125,94,414,464,267,508.65,387.6,500.06
87,422,346,120,432,354.39,73.8,349.56
114,391,416,242,213,469.69,389.4,457.14
54,228,436,420,394,218.27,107.2,216.85
118,498,357,114,381,483.77,267.2,475.81
24,365,128,335,161,98.25,31.2,99.33
36,234,470,127,376,147.11,23.0,145.94
15,192,424,134,437,63.38,12.8,63.38
18,364,392,423,358,73.08,29.4,73.08
33,126,496,49,394,135.65,41.4,133.89
29,407,371,313,428,118.2,41.4,117.61
98,181,403,472,362,400.72,330.8,393.1
126,273,76,410,433,517.21,498.6,507.6
99,81,373,437,416,401.01,142.2,397.84
14,62,356,96,401,60.25,15.0,59.67
80,395,114,206,98,345.58,145.4,322.02
38,149,438,299,441,155.97,40.4,154.56
115,490,327,107,369,474.04,312.0,463.36
108,395,84,377,364,438.52,304.2,435.24
22,90,400,121,476,88.84,34.0,88.84
100,235,457,420,232,421.24,305.4,400.9
63,298,428,87,360,263.35,47.4,254.42
68,179,417,429,426,274.78,77.8,273.61
116,296,471,414,131,471.27,284.6,467.75
125,493,367,89,389,518.22,277.6,502.94
77,143,385,392,371,311.78,97.4,308.61
77,239,130,450,302,317.92,222.6,308.99
20,425,433,368,379,83.47,24.6,82.88
7,96,455,121,444,29.56,14.8,29.56
82,53,388,345,414,331.04,161.2,328.45
36,32,407,175,396,147.56,61.6,147.56
16,494,334,484,394,64.14,11.2,64.14
26,291,170,235,216,104.87,28.2,104.28
39,313,441,160,455,158.8,47.4,158.8
81,99,410,369,372,328.25,180.4,326.49
80,116,401,399,396,333.08,172.8,323.28
82,418,393,131,499,331.49,147.2,330.91
77,408,116,210,94,330.68,112.4,311.71
86,70,487,374,390,345.35,114.2,344.18
13,122,410,165,429,53.36,16.4,53.36
76,109,499,356,379,310.18,138.2,307.84
79,375,392,107,386,326.53,137.0,316.15
2,411,144,415,154,11.66,12.0,11.66
83,203,108,461,277,344.49,218.2,332.83
7,199,111,209,85,30.14,4.6,30.14
10,474,380,506,356,41.94,8.4,41.94
6,114,399,134,412,25.38,15.0,25.38
108,128,408,489,341,445.83,281.6,434.03
104,106,436,467,325,419.95,191.6,416.19
107,422,344,64,381,438.69,311.0,428.69
51,413,168,489,327,209.15,53.2,207.05
26,120,506,51,435,104.85,42.0,104.27
91,141,384,432,334,367.76,129.0,364.59
28,84,426,184,395,114.6,50.4,112.84
31,81,412,196,434,124.11,26.6,124.11
117,399,399,241,141,490.7,396.6,469.57
21,335,169,266,152,91.64,23.6,84.91
36,26,430,170,433,145.24,43.4,145.24
65,467,378,344,215,265.87,129.8,261.76
75,435,239,451,429,309.46,209.0,301.61
34,384,405,474,317,147.44,32.2,139.24
59,58,397,265,475,239.31,52.0,239.31
12,61,442,102,424,48.46,21.0,48.46
101,158,373,484,326,412.97,125.0,405.11
71,160,440,434,421,288.01,93.2,286.01
126,283,85,323,409,514.0,426.0,507.31
10,72,447,92,415,40.87,18.6,40.28
16,489,346,443,353,68.01,36.2,65.33
28,192,432,98,387,112.64,22.6,112.64
29,53,474,160,448,121.28,19.0,117.77
67,244,198,415,109,275.48,140.4,269.38
79,79,452,381,412,319.15,165.6,318.57
17,381,352,360,413,70.28,32.2,69.7
11,482,310,460,274,51.56,10.8,47.46
72,283,465,425,320,293.82,225.8,290.65
15,245,461,194,430,63.84,8.4,63.84
9,306,435,333,409,37.77,16.8,37.77
40,318,188,271,73,164.21,51.8,161.04
32,196,403,302,451,129.4,31.6,128.23
107,377,415,311,108,439.6,326.6,431.16
61,185,418,385,364,249.08,68.0,247.66
65,65,377,285,474,261.94,49.0,260.18
90,377,376,48,451,365.72,132.2,361.48
11,139,402,116,436,46.46,19.2,44.11
68,419,153,480,381,275.15,98.8,275.63
44,220,127,268,77,182.89,62.8,176.41
68,420,215,196,101,285.46,157.6,273.71
22,453,243,484,322,93.01,22.8,91.84
10,148,471,185,463,41.14,12.8,40.31
102,319,103,384,388,417.77,339.2,410.74
53,499,325,442,393,0.0,996.0,212.82
85,416,370,120,484,347.32,91.8,343.22
17,75,354,75,422,68.0,15.4,68.0
14,100,470,51,452,58.8,26.4,56.46
126,354,180,212,444,529.13,544.8,506.88
24,180,447,272,461,97.8,19.0,97.8
43,431,242,315,132,172.84,91.4,172.49
61,419,216,256,58,248.36,104.0,244.85
5,417,151,412,171,32.66,15.4,22.07
17,354,418,425,416,71.83,26.8,71.83
96,419,368,85,493,389.88,97.4,385.78
39,155,477,296,435,160.15,38.2,158.4
