Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
104,472,382,159,442,422.95,122.8,418.95
17,123,415,123,483,68.0,12.4,68.0
56,306,180,450,303,229.94,46.0,226.42
66,203,459,420,348,265.32,37.4,264.15
22,145,463,224,433,91.43,12.6,91.43
121,256,475,410,153,489.85,150.8,484.58
11,97,456,93,412,48.14,13.6,47.31
36,393,428,269,469,145.95,19.8,146.78
56,288,201,456,271,227.42,51.8,225.32
23,293,190,368,211,99.5,21.6,94.33
95,409,412,325,196,395.79,142.6,382.32
48,381,156,264,222,197.27,42.8,192.34
8,286,185,288,152,33.83,7.4,34.66
115,320,410,310,122,466.88,189.0,461.96
10,82,358,50,385,43.18,11.6,43.18
125,69,371,466,303,514.43,189.0,502.53
113,400,400,245,205,468.27,203.4,455.73
88,305,98,480,369,358.27,116.0,354.27
44,47,446,221,434,180.63,30.6,179.8
95,434,344,119,504,381.86,65.2,381.27
119,299,99,431,391,489.81,268.4,477.96
38,377,425,473,326,159.27,39.0,153.41
79,83,461,384,416,319.64,40.4,319.64
69,497,335,413,110,277.29,63.0,276.36
107,439,436,31,444,432.37,63.2,428.71
25,303,425,401,422,100.9,22.8,100.07
96,172,464,440,317,389.58,133.2,385.82
92,171,434,469,307,380.75,133.8,370.85
127,408,403,222,113,526.1,228.0,512.0
11,294,140,288,182,46.14,9.2,46.97
35,299,228,336,163,150.02,45.4,143.88
9,94,461,127,475,38.8,14.6,38.8
124,170,378,413,233,506.2,198.0,497.03
106,447,404,318,191,435.45,147.8,426.07
25,173,404,82,380,104.25,25.2,100.94
20,156,446,84,470,81.94,7.6,81.94
43,200,392,31,404,173.97,58.0,173.97
97,158,471,483,339,388.89,123.0,388.55
65,422,212,365,391,268.84,73.4,262.74
53,386,360,418,314,215.62,52.8,212.79
2,200,422,195,416,8.07,11.6,8.07
44,403,372,441,243,179.41,42.0,177.99
118,112,426,419,330,480.55,221.0,474.3
107,404,216,227,435,439.87,220.8,430.7
54,204,453,404,407,219.05,54.8,219.05
86,456,322,198,420,351.06,96.8,344.23
36,364,392,243,452,146.44,29.2,145.85
29,412,230,317,233,116.81,27.4,117.05
89,108,461,445,409,358.54,93.8,358.54
14,198,393,191,447,56.9,13.8,56.9
74,128,480,396,431,296.34,59.6,296.58
13,458,337,502,345,54.87,10.4,54.53
4,204,106,208,88,19.66,6.8,19.66
119,234,62,406,382,485.37,171.6,476.93
127,450,303,45,427,516.79,226.6,509.96
67,126,447,372,387,271.68,44.6,270.85
85,289,205,475,381,353.18,109.6,341.91
49,366,128,337,228,201.45,65.8,197.01
56,233,427,436,409,231.95,49.8,225.95
21,60,380,121,435,88.47,15.2,87.3
61,104,403,328,431,249.68,56.6,247.2
89,448,432,116,469,356.2,85.4,356.44
126,350,134,322,440,511.35,224.6,507.49
37,464,251,339,226,150.27,24.2,151.1
105,175,433,459,256,425.82,145.6,420.75
103,431,435,412,136,424.07,105.0,412.36
9,96,491,94,452,39.83,12.0,39.83
58,500,335,306,424,239.11,87.2,235.84
13,399,375,368,370,55.7,17.2,55.11
83,389,407,407,158,344.65,107.6,335.86
91,246,127,479,352,377.35,133.2,367.93
42,218,420,61,393,172.08,62.6,168.18
85,407,317,251,474,347.72,75.2,343.96
109,322,101,361,389,443.74,224.2,439.06
63,504,359,342,215,257.56,103.0,253.46
64,452,374,355,184,263.29,53.4,259.19
108,477,314,132,370,439.84,159.4,432.67
85,290,156,476,376,352.58,146.2,341.69
21,192,440,114,423,85.04,13.4,85.04
31,59,466,180,456,133.53,21.6,126.31
64,362,118,398,108,267.04,56.4,259.08
112,378,392,233,197,454.56,238.6,449.04
96,91,356,422,406,388.26,91.2,384.61
88,77,415,408,425,357.85,101.2,355.02
14,141,395,104,362,57.36,11.4,57.6
54,251,447,53,403,217.64,52.8,216.23
91,99,441,423,351,368.25,99.0,364.59
63,309,444,505,355,256.5,102.0,254.4
33,205,433,88,472,133.15,12.8,133.15
31,312,452,186,449,128.07,16.4,127.24
78,47,428,343,414,318.37,107.4,315.88
78,52,390,329,412,316.52,105.8,313.45
16,172,386,115,403,64.04,16.4,64.04
81,41,435,346,407,331.27,110.8,326.54
5,393,165,413,169,21.66,14.4,21.66
126,222,215,413,438,518.8,198.8,507.43
30,323,451,208,431,123.28,17.8,123.28
53,443,317,419,142,216.97,42.6,213.11
114,288,460,411,140,463.3,146.4,459.78
40,492,380,430,245,165.37,48.0,162.44
75,217,210,451,291,304.62,58.0,300.52
